代数, 变异数, 最优个体时间
1,9,35285.0
2,11,35157.0
3,19,35157.0
4,13,35157.0
5,14,35157.0
6,18,35157.0
7,11,34947.0
8,12,34947.0
9,7,34947.0
10,2,34947.0
11,11,34947.0
12,3,34947.0
13,15,34923.0
14,15,34880.0
15,13,34880.0
16,16,34880.0
17,21,34645.0
18,19,34645.0
19,5,34645.0
20,3,34645.0
21,11,34645.0
22,15,34645.0
23,4,34645.0
24,17,34357.0
25,12,34357.0
26,16,34357.0
27,16,34357.0
28,14,34357.0
29,11,34357.0
30,7,34357.0
31,2,34357.0
32,11,34357.0
33,14,34357.0
34,19,34357.0
35,7,34357.0
36,19,34357.0
37,14,34357.0
38,16,34357.0
39,2,34357.0
40,12,34258.0
41,6,34258.0
42,4,34258.0
43,9,34249.0
44,11,34163.0
45,12,34163.0
46,9,34115.0
47,7,34115.0
48,14,33896.0
49,13,33896.0
50,9,33896.0
51,7,33896.0
52,10,33896.0
53,3,33896.0
54,18,33896.0
55,9,33896.0
56,3,33896.0
57,9,33896.0
58,8,33896.0
59,1,33896.0
60,16,33896.0
61,3,33896.0
62,9,33893.0
63,7,33893.0
64,10,33893.0
65,14,33888.0
66,20,33771.0
67,6,33771.0
68,16,33771.0
69,3,33771.0
70,17,33745.0
71,20,33618.0
72,15,33618.0
73,5,33618.0
74,14,33618.0
75,11,33618.0
76,6,33618.0
77,2,33618.0
78,16,33522.0
79,19,33522.0
80,14,33484.0
81,14,33484.0
82,18,33484.0
83,17,33484.0
84,6,33484.0
85,18,33484.0
86,5,33484.0
87,9,33484.0
88,3,33484.0
89,10,33484.0
90,16,33484.0
91,3,33484.0
92,18,33484.0
93,17,33484.0
94,18,33484.0
95,20,33484.0
96,6,33484.0
97,17,33190.0
98,19,33190.0
99,19,33190.0
100,6,33190.0
101,14,33190.0
102,15,33190.0
103,10,33190.0
104,16,33190.0
105,8,33190.0
106,14,33190.0
107,17,33190.0
108,15,33190.0
109,17,33190.0
110,17,33190.0
111,16,33190.0
112,10,33190.0
113,10,33190.0
114,20,33190.0
115,16,33190.0
116,16,33190.0
117,7,33190.0
118,16,33190.0
119,12,33190.0
120,9,33190.0
121,1,33190.0
122,13,33190.0
123,10,33190.0
124,13,33186.0
125,1,33186.0
126,7,33186.0
127,18,33186.0
128,12,33110.0
129,6,33110.0
130,3,33110.0
131,12,32931.0
132,4,32931.0
133,5,32931.0
134,12,32931.0
135,16,32820.0
136,7,32820.0
137,18,32820.0
138,12,32820.0
139,10,32820.0
140,2,32820.0
141,14,32756.0
142,16,32756.0
143,1,32756.0
144,19,32756.0
145,15,32756.0
146,2,32756.0
147,8,32756.0
148,8,32756.0
149,15,32756.0
150,11,32756.0
151,10,32756.0
152,17,32756.0
153,15,32756.0
154,7,32746.0
155,18,32746.0
156,5,32746.0
157,5,32746.0
158,16,32746.0
159,5,32746.0
160,4,32746.0
161,12,32715.0
162,5,32715.0
163,17,32715.0
164,8,32654.0
165,13,32654.0
166,19,32654.0
167,15,32654.0
168,11,32654.0
169,12,32654.0
170,20,32654.0
171,13,32654.0
172,10,32654.0
173,14,32654.0
174,16,32654.0
175,3,32654.0
176,16,32654.0
177,9,32654.0
178,10,32654.0
179,15,32654.0
180,2,32654.0
181,16,32654.0
182,13,32654.0
183,2,32654.0
184,16,32654.0
185,14,32654.0
186,11,32654.0
187,7,32613.0
188,2,32613.0
189,9,32613.0
190,12,32551.0
191,14,32551.0
192,15,32551.0
193,17,32551.0
194,21,32551.0
195,5,32551.0
196,15,32551.0
197,11,32551.0
198,5,32551.0
199,9,32551.0
200,16,32551.0
201,18,32551.0
202,9,32551.0
203,6,32551.0
204,11,32551.0
205,10,32551.0
206,12,32551.0
207,15,32551.0
208,19,32551.0
209,2,32551.0
210,12,32551.0
211,10,32551.0
212,7,32551.0
213,20,32551.0
214,20,32551.0
215,16,32551.0
216,18,32551.0
217,14,32551.0
218,20,32551.0
219,1,32551.0
220,8,32551.0
221,10,32551.0
222,14,32551.0
223,20,32551.0
224,10,32551.0
