加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
8, 1, 53,333, 280
204, 1, 386,666, 280
92, 1, 719,999, 280
12, 1, 1052,1332, 280
163, 3, 147,427, 280
107, 5, 147,427, 280
8, 2, 450,950, 500
148, 1, 1385,1665, 280
80, 3, 544,824, 280
46, 3, 877,1157, 280
107, 4, 508,1008, 500
87, 1, 1759,2039, 280
42, 3, 1251,1531, 280
108, 5, 544,824, 280
114, 5, 877,1157, 280
96, 5, 1210,1490, 280
117, 5, 1543,1823, 280
177, 5, 1876,2156, 280
148, 6, 1723,2223, 500
73, 1, 2151,2431, 280
62, 3, 1637,1917, 280
181, 5, 2250,2530, 280
80, 6, 2308,2808, 500
71, 5, 2583,2863, 280
172, 3, 2011,2291, 280
101, 1, 2525,2805, 280
121, 3, 2402,2682, 280
71, 6, 2962,3462, 500
17, 1, 2917,3197, 280
66, 1, 3250,3530, 280
203, 1, 3583,3863, 280
73, 2, 2489,2989, 500
1, 5, 2975,3255, 280
136, 5, 3308,3588, 280
62, 2, 3106,3606, 500
39, 1, 3916,4196, 280
39, 7, 4279,4779, 500
88, 5, 3682,3962, 280
46, 8, 1350,1850, 500
204, 4, 1169,1669, 500
14, 3, 2735,3015, 280
192, 3, 3068,3348, 280
162, 3, 3401,3681, 280
1, 8, 3425,3925, 500
155, 1, 4279,4559, 280
163, 2, 3664,4164, 500
75, 1, 4612,4892, 280
181, 4, 2682,3182, 500
104, 5, 4056,4336, 280
96, 6, 3520,4020, 500
90, 3, 3775,4055, 280
9, 3, 4108,4388, 280
9, 2, 4487,4987, 500
172, 7, 4862,5362, 500
92, 4, 3367,3867, 500
169, 3, 4441,4721, 280
68, 5, 4430,4710, 280
5, 1, 5004,5284, 280
47, 5, 4822,5102, 280
32, 3, 4815,5095, 280
68, 2, 5086,5586, 500
152, 1, 5337,5617, 280
18, 3, 5189,5469, 280
166, 3, 5522,5802, 280
74, 5, 5283,5563, 280
103, 3, 5896,6176, 280
12, 4, 3974,4474, 500
14, 6, 4119,4619, 500
162, 2, 5703,6203, 500
124, 5, 5675,5955, 280
90, 8, 4155,4655, 500
5, 4, 5401,5901, 500
47, 4, 5959,6459, 500
161, 5, 6053,6333, 280
169, 8, 4914,5414, 500
32, 2, 6291,6791, 500
84, 5, 6445,6725, 280
88, 8, 5513,6013, 500
19, 3, 6288,6568, 280
192, 7, 5513,6013, 500
18, 6, 5612,6112, 500
87, 4, 6558,7058, 500
19, 8, 6685,7185, 500
2, 1, 5758,6038, 280
144, 3, 6662,6942, 280
2, 6, 6211,6711, 500
152, 7, 6147,6647, 500
123, 1, 6136,6416, 280
121, 7, 6730,7230, 500
6, 1, 6528,6808, 280
144, 6, 7059,7559, 500
141, 5, 6783,7063, 280
109, 1, 6920,7200, 280
136, 2, 6849,7349, 500
197, 5, 7175,7455, 280
131, 1, 7312,7592, 280
191, 3, 7036,7316, 280
54, 3, 7369,7649, 280
177, 7, 7424,7924, 500
